timestamp,value,anomaly_score,raw_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-02-14 14:27:00,51.846,0.0301029996659,1.0,0,-0.22,-0.11,-0.11
2014-02-14 14:32:00,44.508,0.0301029996659,1.0,0,-0.22,-0.11,-0.11
2014-02-14 14:37:00,41.244,1.0,1.0,0,-0.22,-0.11,-0.11
2014-02-14 14:42:00,48.568,0.0301029996659,1.0,0,-0.22,-0.11,-0.11
2014-02-14 14:47:00,46.714,0.0301029996659,0.875,0,-0.22,-0.11,-0.11
2014-02-14 14:52:00,44.986,0.0301029996659,0.875,0,-0.22,-0.11,-0.11
2014-02-14 14:57:00,49.108,0.0301029996659,0.75,0,-0.22,-0.11,-0.11
2014-02-14 15:02:00,40.47,1.0,0.75,0,-0.22,-0.11,-0.11
2014-02-14 15:07:00,53.404,1.0,0.925000011921,0,-0.22,-0.11,-0.11
2014-02-14 15:12:00,45.4,0.0301029996659,0.975000023842,0,-0.22,-0.11,-0.11
2014-02-14 15:17:00,43.216,0.0301029996659,0.5,0,-0.22,-0.11,-0.11
2014-02-14 15:22:00,49.72,0.0301029996659,0.850000023842,0,-0.22,-0.11,-0.11
2014-02-14 15:27:00,46.37,0.0301029996659,0.574999988079,0,-0.22,-0.11,-0.11
2014-02-14 15:32:00,43.756,0.0301029996659,0.125,0,-0.22,-0.11,-0.11
2014-02-14 15:37:00,47.582,0.0301029996659,0.20000000298,0,-0.22,-0.11,-0.11
2014-02-14 15:42:00,40.738,0.0301029996659,0.324999988079,0,-0.22,-0.11,-0.11
2014-02-14 15:47:00,51.216,0.0301029996659,0.774999976158,0,-0.22,-0.11,-0.11
2014-02-14 15:52:00,46.314,0.0301029996659,0.17499999702,0,-0.22,-0.11,-0.11
2014-02-14 15:57:00,45.0,0.0301029996659,0.10000000149,0,-0.22,-0.11,-0.11
2014-02-14 16:02:00,50.224,0.0301029996659,0.22499999404,0,-0.22,-0.11,-0.11
2014-02-14 16:07:00,48.096,0.0301029996659,0.324999988079,0,-0.22,-0.11,-0.11
2014-02-14 16:12:00,43.544,0.0301029996659,0.125,0,-0.22,-0.11,-0.11
2014-02-14 16:17:00,48.85,0.0301029996659,0.22499999404,0,-0.22,-0.11,-0.11
2014-02-14 16:22:00,40.942,0.0301029996659,0.10000000149,0,-0.22,-0.11,-0.11
2014-02-14 16:27:00,52.586,0.0301029996659,0.300000011921,0,-0.22,-0.11,-0.11
2014-02-14 16:32:00,45.802,0.0301029996659,0.22499999404,0,-0.22,-0.11,-0.11
2014-02-14 16:37:00,43.122,0.0301029996659,0.0500000007451,0,-0.22,-0.11,-0.11
2014-02-14 16:42:00,50.774,0.0301029996659,0.125,0,-0.22,-0.11,-0.11
2014-02-14 16:47:00,46.262,0.0301029996659,0.0500000007451,0,-0.22,-0.11,-0.11
2014-02-14 16:52:00,43.052,0.0301029996659,0.0250000003725,0,-0.22,-0.11,-0.11
2014-02-14 16:57:00,50.718,0.0301029996659,0.0,0,-0.22,-0.11,-0.11
2014-02-14 17:02:00,45.798,0.0301029996659,0.0750000029802,0,-0.22,-0.11,-0.11
2014-02-14 17:07:00,46.55,0.0301029996659,0.10000000149,0,-0.22,-0.11,-0.11
2014-02-14 17:12:00,48.122,0.0301029996659,0.0500000007451,0,-0.22,-0.11,-0.11
2014-02-14 17:17:00,40.23,0.0301029996659,0.0750000029802,0,-0.22,-0.11,-0.11
